Timestamp,pH,Dissolved Oxygen,Turbidity
2023-08-04T23:00:00.000+05:30,8.176,7.472,2.068
2023-08-04T23:30:00.000+05:30,8.175,7.455,1.994
2023-08-04T23:00:00.000+05:30,8.171,7.43,2.03
2023-08-04T23:30:00.000+05:30,8.171,7.419,1.973
2023-08-04T23:00:00.000+05:30,8.171,7.429,1.944
2023-08-04T23:00:00.000+05:30,8.158,7.43,2.124
2023-08-04T23:30:00.000+05:30,8.158,7.435,1.95
2023-08-05T00:00:00.000+05:30,8.159,7.459,2.033
2023-08-05T00:30:00.000+05:30,8.166,7.446,1.995
2023-08-05T01:00:00.000+05:30,8.168,7.454,1.973
2023-08-05T01:30:00.000+05:30,8.167,7.447,2.014
2023-08-05T02:00:00.000+05:30,8.17,7.426,1.845
2023-08-05T02:30:00.000+05:30,8.169,7.404,1.861
2023-08-05T03:00:00.000+05:30,8.17,7.198,2.397
2023-08-05T03:30:00.000+05:30,8.174,7.204,2.34
2023-08-05T04:00:00.000+05:30,8.166,4.89,3.375
2023-08-05T04:30:00.000+05:30,8.168,6.78,2.213
2023-08-05T05:00:00.000+05:30,8.169,7.145,2.074
2023-08-05T05:30:00.000+05:30,8.168,6.646,2.498
2023-08-05T06:00:00.000+05:30,8.161,7.301,1.689
2023-08-05T06:30:00.000+05:30,8.164,7.022,3.742
2023-08-05T07:00:00.000+05:30,8.166,6.942,2.154
2023-08-05T07:30:00.000+05:30,8.162,7.276,1.628
2023-08-05T08:00:00.000+05:30,8.162,7.261,1.899
2023-08-05T08:30:00.000+05:30,8.163,7.221,1.756
2023-08-05T09:00:00.000+05:30,8.159,7.222,1.935
2023-08-05T09:30:00.000+05:30,8.155,7.257,2.145
2023-08-05T10:00:00.000+05:30,8.153,7.287,2.298
2023-08-05T10:30:00.000+05:30,8.155,7.332,2.195
2023-08-05T11:00:00.000+05:30,8.155,7.457,1.988
2023-08-05T11:30:00.000+05:30,8.155,7.451,2.014
2023-08-05T12:00:00.000+05:30,8.159,7.502,1.717
2023-08-05T12:30:00.000+05:30,8.158,7.56,1.684
2023-08-05T13:00:00.000+05:30,8.162,7.658,1.824
2023-08-05T13:30:00.000+05:30,8.164,7.717,1.876
2023-08-05T14:00:00.000+05:30,8.163,7.741,1.836
2023-08-05T15:00:00.000+05:30,8.167,7.804,1.637
2023-08-05T15:30:00.000+05:30,8.169,7.792,1.681
2023-08-05T16:00:00.000+05:30,8.171,7.808,1.717
2023-08-05T16:30:00.000+05:30,8.171,7.825,1.666
2023-08-05T17:00:00.000+05:30,8.17,7.807,1.606
2023-08-05T17:30:00.000+05:30,8.171,7.781,1.621
2023-08-05T18:00:00.000+05:30,8.172,7.779,1.612
2023-08-05T18:30:00.000+05:30,8.17,7.754,1.728
2023-08-05T19:00:00.000+05:30,8.169,7.73,1.729
2023-08-05T19:30:00.000+05:30,8.162,7.667,1.994
2023-08-05T20:00:00.000+05:30,8.162,7.607,2.089
2023-08-05T20:30:00.000+05:30,8.159,7.486,2.263
2023-08-05T21:00:00.000+05:30,8.154,7.49,2.67
2023-08-05T21:30:00.000+05:30,8.16,7.556,2.432
2023-08-05T22:00:00.000+05:30,8.161,7.567,2.308
2023-08-05T22:30:00.000+05:30,8.159,7.523,2.156
2023-08-05T23:00:00.000+05:30,8.163,7.579,2.074
2023-08-05T23:30:00.000+05:30,8.159,7.554,2.137
2023-08-06T00:00:00.000+05:30,8.161,7.538,1.978
2023-08-06T00:30:00.000+05:30,8.162,7.507,1.968
2023-08-06T01:00:00.000+05:30,8.165,7.473,1.937
2023-08-06T01:30:00.000+05:30,8.163,7.488,1.859
2023-08-06T02:00:00.000+05:30,8.168,7.482,1.727
2023-08-06T02:30:00.000+05:30,8.174,7.073,1.694
2023-08-06T03:00:00.000+05:30,8.163,4.837,1.632
2023-08-06T03:30:00.000+05:30,8.173,6.797,8.774
2023-08-06T04:00:00.000+05:30,8.162,6.908,1.614
2023-08-06T04:30:00.000+05:30,8.181,7.075,3.423
2023-08-06T05:00:00.000+05:30,8.177,7.275,1.699
2023-08-06T05:30:00.000+05:30,8.165,7.113,1.688
2023-08-06T06:00:00.000+05:30,8.168,7.188,1.871
2023-08-06T06:30:00.000+05:30,8.166,7.159,1.618
2023-08-06T07:00:00.000+05:30,8.157,7.271,1.917
2023-08-06T07:30:00.000+05:30,8.164,7.259,2.284
2023-08-06T08:00:00.000+05:30,8.16,7.297,1.906
2023-08-06T08:30:00.000+05:30,8.161,7.364,1.817
2023-08-06T09:00:00.000+05:30,8.16,7.372,1.815
2023-08-06T09:30:00.000+05:30,8.161,7.404,1.812
2023-08-06T10:00:00.000+05:30,8.151,7.367,1.924
2023-08-06T10:30:00.000+05:30,8.157,7.381,2.164
2023-08-06T11:00:00.000+05:30,8.151,7.368,1.822
2023-08-06T11:30:00.000+05:30,8.163,7.591,1.578
2023-08-06T12:00:00.000+05:30,8.162,7.617,1.593
2023-08-06T12:30:00.000+05:30,8.166,7.652,1.625
2023-08-06T13:00:00.000+05:30,8.162,7.62,1.606
2023-08-06T13:30:00.000+05:30,8.163,7.655,1.486
2023-08-06T14:00:00.000+05:30,8.163,7.688,1.523
2023-08-06T14:30:00.000+05:30,8.164,7.7,1.492
2023-08-06T15:00:00.000+05:30,8.166,7.725,1.46
2023-08-06T15:30:00.000+05:30,8.167,7.745,1.519
2023-08-06T16:00:00.000+05:30,8.168,7.754,1.596
2023-08-06T16:30:00.000+05:30,8.168,7.754,1.647
2023-08-06T17:00:00.000+05:30,8.171,7.753,1.784
2023-08-06T17:30:00.000+05:30,8.169,7.72,1.598
2023-08-06T18:00:00.000+05:30,8.168,7.704,1.542
2023-08-06T18:30:00.000+05:30,8.171,7.69,1.721
2023-08-06T19:00:00.000+05:30,8.167,7.593,1.596
2023-08-06T19:30:00.000+05:30,8.173,7.437,1.672
2023-08-06T20:00:00.000+05:30,8.17,7.573,1.528
2023-08-06T20:30:00.000+05:30,8.168,7.578,1.723
2023-08-06T21:00:00.000+05:30,8.173,7.486,1.752
2023-08-06T21:30:00.000+05:30,8.177,7.551,1.932
2023-08-06T22:00:00.000+05:30,8.164,7.619,1.97
2023-08-06T22:30:00.000+05:30,8.171,7.542,1.891
2023-08-06T23:00:00.000+05:30,8.164,7.57,1.97
2023-08-06T23:30:00.000+05:30,8.181,7.612,2.005
2023-08-07T00:00:00.000+05:30,8.17,7.486,1.666
2023-08-07T00:30:00.000+05:30,8.183,7.679,2.158
2023-08-07T01:00:00.000+05:30,8.169,7.546,1.707
2023-08-07T01:30:00.000+05:30,8.165,7.43,1.644
2023-08-07T02:00:00.000+05:30,8.161,7.357,1.592
2023-08-07T02:30:00.000+05:30,8.169,7.45,1.677
2023-08-07T03:00:00.000+05:30,8.179,7.558,1.781
2023-08-07T03:30:00.000+05:30,8.177,7.556,1.786
2023-08-07T04:00:00.000+05:30,8.18,7.58,1.677
2023-08-07T04:30:00.000+05:30,8.18,7.571,1.662
2023-08-07T05:00:00.000+05:30,8.184,7.485,1.71
2023-08-07T05:30:00.000+05:30,8.188,7.484,2.221
2023-08-07T06:00:00.000+05:30,8.177,7.477,1.617
2023-08-07T06:30:00.000+05:30,8.178,7.359,1.695
2023-08-07T07:00:00.000+05:30,8.179,7.462,1.662
2023-08-07T07:30:00.000+05:30,8.181,7.467,1.726
2023-08-07T08:00:00.000+05:30,8.181,7.553,1.645
2023-08-07T08:30:00.000+05:30,8.184,7.548,1.784
2023-08-07T09:00:00.000+05:30,8.182,7.649,1.571
2023-08-07T09:30:00.000+05:30,8.178,7.612,1.627
2023-08-07T10:00:00.000+05:30,8.166,7.522,1.493
2023-08-07T10:30:00.000+05:30,8.185,8.058,1.702
2023-08-07T11:00:00.000+05:30,8.181,7.928,1.683
2023-08-07T11:30:00.000+05:30,8.185,7.997,1.594
2023-08-07T12:00:00.000+05:30,8.185,7.988,1.65
2023-08-07T12:30:00.000+05:30,8.182,7.949,1.585
2023-08-07T13:00:00.000+05:30,8.184,7.983,1.635
2023-08-07T13:30:00.000+05:30,8.178,7.942,1.656
2023-08-07T14:00:00.000+05:30,8.176,7.929,1.502
2023-08-07T14:30:00.000+05:30,8.177,7.944,1.6
2023-08-07T15:00:00.000+05:30,8.177,7.879,1.707
2023-08-07T15:30:00.000+05:30,8.177,7.825,1.815
2023-08-07T16:00:00.000+05:30,8.174,7.932,1.779
2023-08-07T16:30:00.000+05:30,8.176,7.932,1.697
2023-08-07T17:00:00.000+05:30,8.176,7.934,1.633
2023-08-07T17:30:00.000+05:30,8.178,7.912,1.863
2023-08-07T18:00:00.000+05:30,8.179,7.667,1.726
2023-08-07T18:30:00.000+05:30,8.177,7.907,1.786
2023-08-07T19:00:00.000+05:30,8.174,7.883,1.692
2023-08-07T19:30:00.000+05:30,8.172,7.829,1.571
2023-08-07T20:00:00.000+05:30,8.164,7.747,1.622
2023-08-07T20:30:00.000+05:30,8.173,7.827,1.779
2023-08-07T21:00:00.000+05:30,8.172,7.81,1.729
2023-08-07T21:30:00.000+05:30,8.172,7.768,1.85
2023-08-07T22:00:00.000+05:30,8.173,7.752,1.737
2023-08-07T22:30:00.000+05:30,8.172,7.626,1.989
2023-08-07T23:00:00.000+05:30,8.171,7.377,1.902
2023-08-07T23:30:00.000+05:30,8.176,7.543,2.017
2023-08-08T00:00:00.000+05:30,8.175,7.046,1.904
2023-08-08T00:30:00.000+05:30,8.173,7.596,2.038
2023-08-08T01:00:00.000+05:30,8.172,7.422,2.061
2023-08-08T01:30:00.000+05:30,8.178,7.632,1.823
2023-08-08T02:00:00.000+05:30,8.171,7.663,1.958
2023-08-08T02:30:00.000+05:30,8.17,7.649,1.96
2023-08-08T03:00:00.000+05:30,8.17,7.65,1.815
2023-08-08T03:30:00.000+05:30,8.17,7.624,1.783
2023-08-08T04:00:00.000+05:30,8.167,7.566,1.717
2023-08-08T04:30:00.000+05:30,8.168,7.556,1.72
2023-08-08T05:00:00.000+05:30,8.165,7.516,1.696
2023-08-08T05:30:00.000+05:30,8.164,7.487,1.7
2023-08-08T06:00:00.000+05:30,8.164,7.486,1.732
2023-08-08T06:30:00.000+05:30,8.166,7.477,1.708
2023-08-08T07:00:00.000+05:30,8.163,7.486,1.667
2023-08-08T07:30:00.000+05:30,8.156,7.325,1.483
2023-08-08T08:00:00.000+05:30,8.162,7.444,1.57
2023-08-08T08:30:00.000+05:30,8.167,7.528,1.636
2023-08-08T09:00:00.000+05:30,8.164,7.534,1.652
2023-08-08T09:30:00.000+05:30,8.166,7.555,1.597
2023-08-08T10:00:00.000+05:30,8.166,7.585,1.618
2023-08-08T10:30:00.000+05:30,8.165,7.597,1.743
2023-08-08T11:00:00.000+05:30,8.161,7.563,1.912
2023-08-08T11:30:00.000+05:30,8.156,7.487,2.165
2023-08-08T12:00:00.000+05:30,8.169,7.748,1.886
2023-08-08T12:30:00.000+05:30,8.176,7.921,1.69
2023-08-08T13:00:00.000+05:30,8.182,8.065,1.703
2023-08-08T13:30:00.000+05:30,8.185,8.124,1.752
2023-08-08T14:00:00.000+05:30,8.185,8.131,1.856
2023-08-08T14:30:00.000+05:30,8.182,8.099,1.941
2023-08-08T15:00:00.000+05:30,8.18,8.074,2.133
2023-08-08T15:30:00.000+05:30,8.181,8.08,2.017
2023-08-08T16:00:00.000+05:30,8.182,8.075,2.003
2023-08-08T16:30:00.000+05:30,8.183,8.1,2.055
2023-08-08T17:00:00.000+05:30,8.182,8.08,2.166
2023-08-08T17:30:00.000+05:30,8.184,8.078,2.121
2023-08-08T18:00:00.000+05:30,8.182,8.024,2.144
2023-08-08T18:30:00.000+05:30,8.18,7.963,2.014
2023-08-08T19:00:00.000+05:30,8.181,7.871,2.048
2023-08-08T19:30:00.000+05:30,8.178,7.857,1.874
2023-08-08T20:00:00.000+05:30,8.177,7.826,1.821
2023-08-08T20:30:00.000+05:30,8.175,7.747,1.938
2023-08-08T21:00:00.000+05:30,8.173,7.675,1.877
2023-08-08T21:30:00.000+05:30,8.172,7.635,1.89
2023-08-08T22:00:00.000+05:30,8.172,7.634,1.846
2023-08-08T22:30:00.000+05:30,8.171,7.604,1.91
2023-08-08T23:00:00.000+05:30,8.172,7.498,1.842
2023-08-08T23:30:00.000+05:30,8.173,7.426,2.018
2023-08-09T00:00:00.000+05:30,8.164,7.155,1.946
2023-08-09T00:30:00.000+05:30,8.168,7.533,1.752
2023-08-09T01:00:00.000+05:30,8.167,7.428,1.873
2023-08-09T01:30:00.000+05:30,8.164,7.538,1.924
2023-08-09T02:00:00.000+05:30,8.163,7.513,1.838
2023-08-09T02:30:00.000+05:30,8.163,7.483,1.842
2023-08-09T03:00:00.000+05:30,8.161,7.452,1.812
2023-08-09T03:30:00.000+05:30,8.162,7.376,2.053
2023-08-09T04:00:00.000+05:30,8.157,7.282,1.729
2023-08-09T04:30:00.000+05:30,8.172,6.787,4.445
2023-08-09T05:00:00.000+05:30,8.159,7.343,1.81
2023-08-09T05:30:00.000+05:30,8.154,7.297,1.634
2023-08-09T06:00:00.000+05:30,8.153,7.262,1.604
2023-08-09T06:30:00.000+05:30,8.153,7.232,1.65
2023-08-09T07:00:00.000+05:30,8.154,7.27,1.653
2023-08-09T07:30:00.000+05:30,8.155,7.257,1.793
2023-08-09T08:00:00.000+05:30,8.156,7.31,1.748
2023-08-09T08:30:00.000+05:30,8.16,7.37,1.775
2023-08-09T09:00:00.000+05:30,8.162,7.428,1.86
2023-08-09T09:30:00.000+05:30,8.168,7.536,1.777
2023-08-09T10:00:00.000+05:30,8.172,7.67,1.811
2023-08-09T10:30:00.000+05:30,8.171,7.661,1.862
2023-08-09T11:00:00.000+05:30,8.164,7.617,1.831
2023-08-09T11:30:00.000+05:30,8.181,8.122,1.784
2023-08-09T12:00:00.000+05:30,8.167,7.758,2.357
2023-08-09T12:30:00.000+05:30,8.171,7.87,2.075
2023-08-09T13:00:00.000+05:30,8.169,7.885,2.085
2023-08-09T13:30:00.000+05:30,8.162,7.804,2.296
2023-08-09T14:00:00.000+05:30,8.169,7.93,2.081
2023-08-09T14:30:00.000+05:30,8.165,7.912,2.291
2023-08-09T15:00:00.000+05:30,8.178,8.113,2.014
2023-08-09T15:30:00.000+05:30,8.183,8.221,1.97
2023-08-09T16:00:00.000+05:30,8.183,8.219,1.943
2023-08-09T16:30:00.000+05:30,8.18,8.171,1.941
2023-08-09T17:00:00.000+05:30,8.182,8.154,1.961
2023-08-09T17:30:00.000+05:30,8.181,8.122,2.161
2023-08-09T18:00:00.000+05:30,8.179,8.084,1.915
2023-08-09T18:30:00.000+05:30,8.178,8.021,1.976
2023-08-09T19:00:00.000+05:30,8.177,7.998,2.069
2023-08-09T19:30:00.000+05:30,8.175,7.951,2.051
2023-08-09T20:00:00.000+05:30,8.175,7.917,2.024
2023-08-09T20:30:00.000+05:30,8.178,7.82,2.055
2023-08-09T21:00:00.000+05:30,8.176,7.723,1.891
2023-08-09T21:30:00.000+05:30,8.175,7.765,1.877
2023-08-09T22:00:00.000+05:30,8.177,7.33,1.765
